name,sector,country,erp,size
Hinojosa Packaging,Industrial,ES,,2
Saica,Industrial,ES,,3
Miquel y Costas,Industrial,ES,,1
Grupo Calvo,Food & Beverage,ES,,2
Nueva Pescanova,Food & Beverage,ES,,3
Borges,Food & Beverage,ES,,2
Vichy Catalan,Food & Beverage,ES,,1
Idilia Foods,Food & Beverage,ES,,1
Grefusa,Food & Beverage,ES,,1
Casa Tarradellas,Food & Beverage,ES,,2
Noel Alimentaria,Food & Beverage,ES,,2
ElPozo,Food & Beverage,ES,,3
Grupo Palacios,Food & Beverage,ES,,1
Angulas Aguinaga,Food & Beverage,ES,,1
Hijos de Rivera,Food & Beverage,ES,,2
Damm,Food & Beverage,ES,,3
Pastas Gallo,Food & Beverage,ES,,1
Europastry,Food & Beverage,ES,,3
Vicky Foods,Food & Beverage,ES,,2
GBfoods,Food & Beverage,ES,,3
Frit Ravich,Food & Beverage,ES,,1
Familia Torres,Food & Beverage,ES,,2
Raventós Codorníu,Food & Beverage,ES,,2
García Carrión,Food & Beverage,ES,,2
Osborne,Food & Beverage,ES,,2
Heura Foods,Food & Beverage,ES,,1
Cacaolat,Food & Beverage,ES,,1
Florette Ibérica,Food & Beverage,ES,,1
Adamo,Telecom & Technology,ES,,2
Avatel,Telecom & Technology,ES,,2
Finetwork,Telecom & Technology,ES,,2
Aire Networks,Telecom & Technology,ES,,1
Lyntia,Telecom & Technology,ES,,2
Onivia,Telecom & Technology,ES,,1
Gigas,Telecom & Technology,ES,,1
Red Points,Telecom & Technology,ES,,1
CARTO,Telecom & Technology,ES,,1
Packlink,Telecom & Technology,ES,,1
Tiendeo,Telecom & Technology,ES,,1
Amenitiz,Telecom & Technology,ES,,1
Exoticca,Travel,ES,,1
Civitatis,Travel,ES,,1
Hotelbeds,Travel,ES,,3
eDreams ODIGEO,Travel,ES,,3
Destinia,Travel,ES,,1
Logitravel,Travel,ES,,2
Atrápalo,Travel,ES,,1
Payflow,Payments,ES,,1
seQura,Payments,ES,,1
Aplazame,Payments,ES,,1
PAYCOMET,Payments,ES,,1
Sipay,Payments,ES,,1
MONEI,Payments,ES,,1
ID Finance,Payments,ES,,1
Alsa,Transport & Mobility,ES,,3
Avanza,Transport & Mobility,ES,,2
Moventia,Transport & Mobility,ES,,2
Sagalés,Transport & Mobility,ES,,1
Zity,Transport & Mobility,ES,,1
Yego,Transport & Mobility,ES,,1
Bipi,Transport & Mobility,ES,,1
SEUR,Logistics,ES,,3
MRW,Logistics,ES,,2
Nacex,Logistics,ES,,2
Tipsa,Logistics,ES,,1
Primafrio,Logistics,ES,,2
Grupo Sesé,Logistics,ES,,3
Marcotran,Logistics,ES,,1
Carreras Grupo Logístico,Logistics,ES,,2
Moldtrans,Logistics,ES,,1
Noatum,Logistics,ES,,2
Bergé,Logistics,ES,,2
TIBA,Logistics,ES,,1
Trucksters,Logistics,ES,,1
ISDI,Education,ES,,1
ESIC,Education,ES,,1
Ironhack,Education,ES,,1
Lingokids,Education,ES,,1
Odilo,Education,ES,,1
Smartick,Education,ES,,1
Innovamat,Education,ES,,1
MasterD,Education,ES,,1
Proeduca,Education,ES,,2
Universidad Europea,Education,ES,,2
Kids&Us,Education,ES,,1
Brains International Schools,Education,ES,,1
Vithas,Health & Wellness,ES,,3
Ribera Salud,Health & Wellness,ES,,2
HM Hospitales,Health & Wellness,ES,,3
Hospiten,Health & Wellness,ES,,2
Clínica Baviera,Health & Wellness,ES,,2
Vitaldent,Health & Wellness,ES,,2
Donte Group,Health & Wellness,ES,,2
Instituto Bernabeu,Health & Wellness,ES,,1
IVI,Health & Wellness,ES,,2
Eugin,Health & Wellness,ES,,1
Atrys Health,Health & Wellness,ES,,1
Top Doctors,Health & Wellness,ES,,1
DiR,Health & Wellness,ES,,1
Metropolitan,Health & Wellness,ES,,1
VivaGym,Health & Wellness,ES,,2
GO fit,Health & Wellness,ES,,1
Synergym,Health & Wellness,ES,,1
Good Rebels,Marketing & Advertising,ES,,1
Making Science,Marketing & Advertising,ES,,2
LLYC,Marketing & Advertising,ES,,2
Atrevia,Marketing & Advertising,ES,,1
Adsmurai,Marketing & Advertising,ES,,1
Elogia,Marketing & Advertising,ES,,1
Cyberclick,Marketing & Advertising,ES,,1
Grupo Eulen,Facilities Services,ES,,3
Clece,Facilities Services,ES,,3
Ilunion,Facilities Services,ES,,3
Serveo,Facilities Services,ES,,2
Grupo Sifu,Facilities Services,ES,,2
Optima Facility,Facilities Services,ES,,1
Grupo Norte,Facilities Services,ES,,2
Eurofirms,Facilities Services,ES,,2
Nortempo,Facilities Services,ES,,1
Signaturit,Legaltech / Regtech,ES,,1
Lefebvre,Legaltech / Regtech,ES,,2
vLex,Legaltech / Regtech,ES,,1
Bigle Legal,Legaltech / Regtech,ES,,1
Docuten,Legaltech / Regtech,ES,,1
Validated ID,Legaltech / Regtech,ES,,1
Camerfirma,Legaltech / Regtech,ES,,1
Holaluz,Energy,ES,,2
Factorenergia,Energy,ES,,1
Audax Renovables,Energy,ES,,2
SotySolar,Energy,ES,,1
Samara,Energy,ES,,1
Ecoener,Energy,ES,,1
Grenergy,Energy,ES,,2
Soltec,Energy,ES,,2
Powen,Energy,ES,,1
Flix,Transport & Mobility,DE,,3
Personio,Telecom & Technology,DE,,2
Celonis,Telecom & Technology,DE,,2
sennder,Logistics,DE,,2
Forto,Logistics,DE,,1
Enpal,Energy,DE,,2
About You,Retail,DE,,3
Westwing,Retail,DE,,2
Urban Sports Club,Health & Wellness,DE,,1
Freeletics,Health & Wellness,DE,,1
McFIT,Health & Wellness,DE,,2
Gymshark,Retail,GB,,2
SumUp,Payments,GB,,3
Huel,Food & Beverage,GB,,1
Gousto,Food & Beverage,GB,,1
Rituals,Retail,NL,,3
Hunkemöller,Retail,NL,,2
Basic-Fit,Health & Wellness,NL,,3
Mollie,Payments,NL,,2
Picnic,Retail,NL,,2
Swapfiets,Transport & Mobility,NL,,1
Parfois,Retail,PT,,2
Salsa Jeans,Retail,PT,,1
Pestana Hotel Group,Hospitality,PT,,3
Vila Galé,Hospitality,PT,,2
Delta Cafés,Food & Beverage,PT,,2
Vista Alegre,Industrial,PT,,1
Sézane,Retail,FR,,1
Veepee,Retail,FR,,3
ID Logistics,Logistics,FR,,3
Samsic,Facilities Services,FR,,3
BlaBlaCar,Transport & Mobility,FR,,2
ManoMano,Retail,FR,,2
Casavo,Real Estate,IT,,1
Satispay,Payments,IT,,1
Scalapay,Payments,IT,,1
Eataly,Food & Beverage,IT,,2
Deliverect,Telecom & Technology,BE,,1
Showpad,Telecom & Technology,BE,,1
Lotus Bakeries,Food & Beverage,BE,,2
Flywire,Payments,US,,2
Toast,Payments,US,,3
Kry,Health & Wellness,SE,,1
Bitpanda,Payments,AT,,1
Docplanner,Health & Wellness,PL,,2
Carsome,Transport & Mobility,MY,,2
